target;Literal;Question;Negation;VerbTalk
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
двумя словами;0;0;0;0
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;1;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;1;1
двумя словами;1;0;0;0
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;1;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;1;1;1
двумя словами;0;0;0;0
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;1;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;0
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;1;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;1;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
двумя словами;0;0;0;1
двумя словами;1;0;0;1
двумя словами;1;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;1;0;0
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;1;0;0
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;1;1
в двух словах;0;0;0;0
в двух словах;1;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;0
в двух словах;0;0;1;1
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;1;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;0
в двух словах;1;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;0
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;1;0;0;0
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;1;0;0
в двух словах;0;1;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;1;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;0
в двух словах;0;0;0;0
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;1;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
в двух словах;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;1
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
два слова о;0;0;0;0
